SUA Code,SUA Name,Producer Country Name,Producer Country Code,Share,Waste
"A02HN","Scallops, pectens","Rest of World","RoW",1,0.02
"A02GX","Water snails, conches and whelks","Rest of World","RoW",1,0.02
"A02GX","Water snails, conches and whelks","Rest of World","RoW",1,0.02
"A02KR","Frogs (legs)","Rest of World","RoW",1,0.02
"A02LK","Snails","Rest of World","RoW",1,0.02
"A0C75","Salmons","Rest of World","RoW",1,0.02
"A029F","Trouts","Rest of World","RoW",1,0.02
"A027J","Catfishes (freshwater)","Rest of World","RoW",1,0.02
"A029Z","Wolffish","Rest of World","RoW",1,0.02
"A02BV","Cod","Rest of World","RoW",1,0.02
"A02EL","Cod liver","Rest of World","RoW",1,0.02
"A02EP","Cod roe","Rest of World","RoW",1,0.02
"A02CG","Whiting","Rest of World","RoW",1,0.02
"A02CA","Haddock","Rest of World","RoW",1,0.02
"A0F7F","Lumpfish roe","Rest of World","RoW",1,0.02
"01802","Sugar cane","Spain","ES",1,0.045
"01491.01","Oil palm fruit","Malaysia","MY",0.3,0.06
"01491.01","Oil palm fruit","Indonesia","ID",0.7,0.06
